,author,post_id,contents,created_at
0,anantgarg8888888888,18124895077012970,https://www.google.com/search?q=ultimate+source+currency+is+use+them&oq=ultimate+source+currency+is+use+them&aqs=chrome..69i57.29492j0j9&client=ms-android-motorola-rev2&sourceid=chrome-mobile&ie=UTF-8,1579406685
1,stuttering.exe,17862463216638943,Google has an IG?😳,1579407324
2,our_elyf,18125980705028611,❤️❤️❤️,1579416271
3,sporesia093,18125499700048240,"I have won Samsung galaxy 10 ,and i have to confirm the prize by paying$1 only,is this issue serious? @google",1579419430
4,aqeqah,18101820544099141,👍,1579422686
5,rcrdvrt,17852048896788381,nOOb,1579429698
6,zeus_spy,18046315360219953,"Soon, footage of the 145 US soldiers killed and 580 wounded at the al-Asad base is being broadcast on social media.  Trump liar",1579437136
7,dasnamen,18019324531257704,"@google next what's be splattered is your scattering. Volcano is awaked, there is no snow to you. 🔥🔥🔥🔥🔥🔥🔥",1579443516
8,the.angry.goose,18005521009272107,Hey searchy boy. Like the goose,1579443676
9,sparrow_sub,17842719715945269,ski is very good for health 🎿🎿,1579446769
10,tyago_tavares,18123674740001938,#14f #sdv #followme liberdade,1579451606
11,mehran_az97,17951547172306632,🖤,1579454280
12,dfordopers,17862566278648742,Great,1579454285
13,top_service_1,18086052184176659,Follow me,1579456641
14,f_u_t_k_a_r_a_d_z_e,17847863920854417,👏👏🔥,1579458701
15,elektro_runner,17879606866506668,Lol,1579460303
16,illuminor_agency,17898032614434466,Cool photo Google! 😄,1579470751
17,thfcinsta,17862516463632873,PLEASE BUY TOTTENHAM HOTSPUR,1579474243
18,nomadisland,18127070551032654,Honoured to be featured 🙏. I think it's time to take out the pixel again 😝,1579475207
19,suraj_mani_99,18083515078155544,"To the respective Google team I have an issue with my gmail and I have tried all the ways to contact you and failed on all the ways., and I wrote you complaint and tweeted to you 2 days ago, and not at all getting response., help me as soon as possible.! I'm suffering with my gmail.!",1579479348
20,google_are_enemy_peoples,17861143459667483,Google Thieves of Peoples,1579479863
21,google_are_enemy_peoples,18102660394106284,Google Thieves of Peoples,1579479865
22,google_are_enemy_peoples,18083931751154346,google garbage peoples,1579479885
23,freddyestiwuar,18123918922051049,Wow,1579481101
